"Date","Price","Open","High","Low","Vol.","Change %"
"11/17/2025","6,672.41","6,713.61","6,754.50","6,638.90","","-0.92%"
"11/14/2025","6,734.11","6,672.14","6,774.31","6,646.87","","-0.05%"
"11/13/2025","6,737.49","6,826.47","6,828.05","6,724.72","","-1.66%"
"11/12/2025","6,850.92","6,867.77","6,869.91","6,829.62","","0.06%"
"11/11/2025","6,846.61","6,815.64","6,855.13","6,806.87","","0.21%"
"11/10/2025","6,832.43","6,785.36","6,841.32","6,770.56","","1.54%"
"11/07/2025","6,728.80","6,696.18","6,730.11","6,631.44","","0.13%"
"11/06/2025","6,720.32","6,787.59","6,796.68","6,707.51","","-1.12%"
"11/05/2025","6,796.29","6,769.77","6,829.78","6,763.11","","0.37%"
"11/04/2025","6,771.55","6,788.52","6,820.21","6,766.71","","-1.17%"
"11/03/2025","6,851.97","6,882.32","6,882.32","6,820.62","","0.17%"
"10/31/2025","6,840.20","6,879.17","6,879.17","6,814.26","","0.26%"
"10/30/2025","6,822.34","6,860.50","6,880.75","6,820.69","","-0.99%"
"10/29/2025","6,890.59","6,910.95","6,920.34","6,851.91","","0.00%"
"10/28/2025","6,890.89","6,897.74","6,911.30","6,870.73","","0.23%"
"10/27/2025","6,875.16","6,845.46","6,877.28","6,843.94","","1.23%"
"10/24/2025","6,791.69","6,772.07","6,807.11","6,772.07","","0.79%"
"10/23/2025","6,738.44","6,703.65","6,749.53","6,700.14","","0.58%"
"10/22/2025","6,699.40","6,741.34","6,741.75","6,655.69","","-0.53%"
"10/21/2025","6,735.35","6,736.75","6,752.16","6,722.03","","0.00%"
"10/20/2025","6,735.13","6,690.05","6,744.35","6,690.05","","1.07%"
"10/17/2025","6,664.01","6,613.27","6,678.88","6,603.76","","0.53%"
"10/16/2025","6,629.07","6,689.02","6,709.34","6,593.99","","-0.63%"
"10/15/2025","6,671.06","6,688.27","6,724.12","6,612.11","","0.40%"
"10/14/2025","6,644.31","6,602.49","6,680.70","6,555.07","","-0.16%"
"10/13/2025","6,654.72","6,622.53","6,668.68","6,620.71","","1.56%"
"10/10/2025","6,552.51","6,740.49","6,762.40","6,550.78","","-2.71%"
"10/09/2025","6,735.11","6,760.50","6,764.58","6,716.17","","-0.28%"
"10/08/2025","6,753.72","6,723.87","6,755.64","6,718.09","","0.58%"
"10/07/2025","6,714.59","6,746.14","6,754.49","6,699.96","","-0.38%"
"10/06/2025","6,740.28","6,733.86","6,749.52","6,717.78","","0.36%"
"10/03/2025","6,715.79","6,722.14","6,750.87","6,705.67","","0.01%"
"10/02/2025","6,715.35","6,731.31","6,731.94","6,693.23","","0.06%"
"10/01/2025","6,711.20","6,664.92","6,718.48","6,656.20","","0.34%"
